city, address, price, size, price_per_area
Valkeakoski,Sairionrannankatu 15 B,236500,64.5,3666.6666666666665
Valkeakoski,Sairionrannankatu 11 B,245000,69.5,3525.179856115108
Valkeakoski,Sairionrannankatu 15 A,237600,68.5,3468.6131386861316
Valkeakoski,Sairionrannankatu 11 A,225400,63.5,3549.6062992125985
Valkeakoski,Sairionrannankatu 15 a 6,248500,69.5,3575.539568345324
Valkeakoski,Sairionrannankatu 15 b 12,250500,69.5,3604.31654676259
Valkeakoski,Sairionrannankatu 11 b 12,245000,69.5,3525.179856115108
Valkeakoski,Sairionrannankatu 15 b 11,191900,45.5,4217.582417582417
Valkeakoski,Sairionrannankatu 15 a 5,191900,45.5,4217.582417582417
Valkeakoski,Sairionrannankatu 15 a 4,236500,64.5,3666.6666666666665
Valkeakoski,Sairionrannankatu 15 b 10,236500,64.5,3666.6666666666665
Valkeakoski,Sairionrannankatu 11 b 10,230500,64.5,3573.6434108527133
Valkeakoski,Sairionrannankatu 15 a 3,237600,68.5,3468.6131386861316
Valkeakoski,Sairionrannankatu 15 a 2,184900,45.5,4063.736263736264
Valkeakoski,Sairionrannankatu 15 b 8,183400,45.5,4030.769230769231
Valkeakoski,Sairionrannankatu 15 b 7,227900,63.5,3588.9763779527557
Valkeakoski,Sairionrannankatu 15 a 1,229400,63.5,3612.5984251968503
Valkeakoski,Sairionrannankatu 11 b 7,225400,63.5,3549.6062992125985
Valkeakoski,Sairionrannankatu 11 a 5,185900,45.5,4085.714285714286
Valkeakoski,Sairionrannankatu 11 a 6,240500,69.5,3460.431654676259
Valkeakoski,Sairionrannankatu 11 a 4,230500,64.5,3573.6434108527133
Valkeakoski,Sairionrannankatu 11 a 2,180900,45.5,3975.8241758241757
Valkeakoski,Sairionrannankatu 11 a 1,225400,63.5,3549.6062992125985
Valkeakoski,Possentie 4 C,224800,43,5227.906976744186
Valkeakoski,Possentie 4 C,201000,38,5289.473684210527
